trade_no,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason,indicators_agreed,consensus_signal,ADX_DI_signal,ADX_DI_buy_votes,ADX_DI_sell_votes,ADX_DI_total,Bollinger_Bands_signal,BB_buy_votes,BB_sell_votes,BB_total,Breadth_signal,Breadth_buy_votes,Breadth_sell_votes,Breadth_total,EMA_Cross_signal,EMA_buy_votes,EMA_sell_votes,EMA_total,RSI_signal,RSI_buy_votes,RSI_sell_votes,RSI_total,Supertrend_signal,ST_buy_votes,ST_sell_votes,ST_total,equity_after
44,2025-01-02 00:00:00+05:30,2025-01-13 00:00:00+05:30,SHORT,79943.71,77042.65,4,11604.25,take_profit,4,SELL,SELL,2,10,12,HOLD,5,5,12,SELL,2,6,8,SELL,0,5,5,BUY,7,1,8,SELL,1,15,17,947290.06
45,2025-01-13 00:00:00+05:30,2025-02-04 00:00:00+05:30,SHORT,76330.01,78293.10,4,-7852.36,stop_loss,3,HOLD,SELL,3,9,12,HOLD,5,5,12,HOLD,4,4,8,SELL,1,4,5,BUY,7,1,8,SELL,1,15,17,939437.70
46,2025-02-11 00:00:00+05:30,2025-02-28 00:00:00+05:30,SHORT,76293.60,73671.52,5,13110.39,take_profit,4,SELL,SELL,3,9,12,HOLD,5,5,12,SELL,2,6,8,SELL,0,5,5,BUY,7,1,8,SELL,1,15,17,952548.09
47,2025-02-28 00:00:00+05:30,2025-03-18 00:00:00+05:30,SHORT,73198.10,74660.86,6,-8776.54,stop_loss,5,SELL,SELL,3,9,12,SELL,3,7,12,SELL,3,5,8,SELL,0,5,5,BUY,7,1,8,SELL,1,15,17,943771.55
48,2025-03-18 00:00:00+05:30,2025-03-21 00:00:00+05:30,SHORT,75301.26,76798.63,6,-8984.23,stop_loss,4,SELL,HOLD,6,6,12,SELL,4,6,12,SELL,3,5,8,SELL,1,4,5,BUY,7,1,8,SELL,6,10,17,934787.32
49,2025-03-21 00:00:00+05:30,2025-04-07 00:00:00+05:30,SHORT,76905.51,74703.40,6,13212.67,take_profit,4,SELL,BUY,7,5,12,SELL,4,6,12,SELL,2,6,8,SELL,2,3,5,HOLD,4,4,8,SELL,1,15,17,947999.99
1,2022-01-06 09:25:00+05:30,2022-01-06 14:25:00+05:30,SHORT,59527.60,59715.95,34,-6403.90,signal_reversal,0,BUY,BUY,6,4,12,BUY,6,2,12,HOLD,2,3,8,BUY,3,2,5,BUY,5,3,8,BUY,9,7,17,993596.10
50,2025-04-07 00:00:00+05:30,2025-04-15 00:00:00+05:30,SHORT,73137.90,75628.41,3,-7471.53,stop_loss,5,SELL,SELL,5,7,12,SELL,3,7,12,SELL,3,5,8,SELL,0,5,5,HOLD,4,4,8,SELL,1,15,17,940528.46
2,2022-01-06 14:25:00+05:30,2022-01-06 15:10:00+05:30,LONG,59715.95,59589.17,78,-9889.15,stop_loss,3,HOLD,BUY,6,4,12,BUY,6,2,12,HOLD,3,2,8,BUY,3,2,5,HOLD,4,4,8,HOLD,8,8,17,983706.95
3,2022-01-07 09:20:00+05:30,2022-01-07 11:50:00+05:30,LONG,59909.73,59730.03,54,-9704.02,stop_loss,1,HOLD,HOLD,5,5,12,BUY,6,3,12,HOLD,3,2,8,SELL,2,3,5,SELL,2,6,8,SELL,1,15,17,974002.93
4,2022-01-07 11:55:00+05:30,2022-01-07 12:35:00+05:30,SHORT,59743.75,59550.26,75,14511.38,take_profit,4,SELL,SELL,4,7,12,BUY,5,4,12,HOLD,3,2,8,SELL,1,4,5,SELL,2,6,8,SELL,1,15,17,988514.31
5,2022-01-07 12:35:00+05:30,2022-01-07 13:40:00+05:30,SHORT,59540.86,59682.18,69,-9751.22,stop_loss,3,HOLD,SELL,4,7,12,BUY,5,4,12,BUY,4,2,8,SELL,1,4,5,BUY,5,3,8,SELL,0,16,17,978763.09
6,2022-01-07 14:00:00+05:30,2022-01-07 15:05:00+05:30,SHORT,59623.83,59732.11,83,-8987.24,signal_reversal,1,BUY,BUY,6,5,12,BUY,5,4,12,HOLD,3,3,8,SELL,2,3,5,BUY,5,3,8,BUY,10,6,17,969775.85
7,2022-01-07 15:05:00+05:30,2022-01-10 09:15:00+05:30,LONG,59732.11,59907.69,82,14397.89,take_profit,4,BUY,SELL,5,6,12,BUY,6,4,12,HOLD,3,3,8,BUY,3,2,5,BUY,5,3,8,BUY,10,6,17,984173.74
8,2022-01-10 09:15:00+05:30,2022-01-10 11:55:00+05:30,LONG,60185.03,60052.01,49,-6517.98,signal_reversal,1,SELL,SELL,5,6,12,BUY,6,4,12,HOLD,3,3,8,SELL,2,3,5,SELL,1,7,8,SELL,2,14,17,977655.76
9,2022-01-10 11:55:00+05:30,2022-01-10 12:05:00+05:30,SHORT,60052.01,60151.76,98,-9775.89,stop_loss,5,SELL,SELL,5,6,12,BUY,6,4,12,SELL,2,4,8,SELL,2,3,5,SELL,1,7,8,SELL,2,14,17,967879.87
51,2025-04-22 00:00:00+05:30,2025-06-27 00:00:00+05:30,LONG,79595.59,84038.81,3,13329.65,take_profit,4,BUY,BUY,8,4,12,BUY,6,4,12,HOLD,4,4,8,BUY,4,1,5,SELL,3,5,8,BUY,12,4,17,953858.11
10,2022-01-10 12:40:00+05:30,2022-01-10 14:55:00+05:30,LONG,60247.97,60367.92,121,14513.83,take_profit,5,BUY,BUY,8,4,12,BUY,7,3,12,BUY,5,1,8,BUY,4,1,5,SELL,2,6,8,BUY,9,7,17,982393.69
52,2025-06-27 00:00:00+05:30,2025-07-14 00:00:00+05:30,LONG,84058.90,82495.52,6,-9380.28,stop_loss,4,BUY,BUY,8,4,12,BUY,7,3,12,SELL,3,5,8,BUY,4,1,5,SELL,3,5,8,BUY,10,6,17,944477.83
11,2022-01-10 14:55:00+05:30,2022-01-11 09:25:00+05:30,LONG,60369.18,60485.31,126,14632.38,take_profit,5,BUY,BUY,8,4,12,BUY,8,2,12,BUY,5,1,8,BUY,4,1,5,SELL,2,6,8,BUY,9,7,17,997026.07
12,2022-01-11 09:25:00+05:30,2022-01-11 10:00:00+05:30,LONG,60488.28,60331.12,63,-9901.33,stop_loss,4,BUY,BUY,8,4,12,BUY,8,2,12,BUY,4,2,8,BUY,4,1,5,SELL,2,6,8,HOLD,8,8,17,987124.74
53,2025-07-14 00:00:00+05:30,2025-07-28 00:00:00+05:30,LONG,82253.46,81205.61,9,-9430.67,stop_loss,1,HOLD,HOLD,6,6,12,BUY,6,4,12,HOLD,4,4,8,SELL,2,3,5,SELL,3,5,8,SELL,2,14,17,935047.16
54,2025-08-08 00:00:00+05:30,2025-08-19 00:00:00+05:30,SHORT,79857.79,81300.52,6,-8656.38,stop_loss,3,HOLD,HOLD,6,6,12,SELL,4,6,12,BUY,5,3,8,SELL,1,4,5,BUY,5,3,8,SELL,2,14,17,926390.78
13,2022-01-11 10:00:00+05:30,2022-01-11 13:25:00+05:30,LONG,60330.15,60665.24,44,14743.87,take_profit,5,BUY,BUY,9,3,12,BUY,8,2,12,BUY,6,0,8,BUY,4,1,5,SELL,3,5,8,BUY,12,4,17,1001868.61
14,2022-01-11 13:25:00+05:30,2022-01-11 13:45:00+05:30,LONG,60670.29,60606.43,156,-9962.78,stop_loss,5,BUY,BUY,9,3,12,BUY,8,2,12,BUY,6,0,8,BUY,4,1,5,SELL,3,5,8,BUY,12,4,17,991905.83
55,2025-08-25 00:00:00+05:30,2025-08-28 00:00:00+05:30,LONG,81635.91,80411.47,7,-8571.09,stop_loss,0,HOLD,HOLD,6,6,12,HOLD,5,5,12,HOLD,4,4,8,SELL,2,3,5,HOLD,4,4,8,SELL,3,13,17,917819.68
